year,sex,name,count
1880,Female,Mary,7065
1880,Male,John,9655
1881,Female,Mary,6919
1881,Male,John,8769
1882,Female,Mary,8148
1882,Male,John,9557
1883,Female,Mary,8012
1883,Male,John,8894
1884,Female,Mary,9217
1884,Male,John,9388
1885,Female,Mary,9128
1885,Male,John,8756
1886,Female,Mary,9889
1886,Male,John,9026
1887,Female,Mary,9888
1887,Male,John,8110
1888,Female,Mary,11754
1888,Male,John,9247
1889,Female,Mary,11648
1889,Male,John,8548
1890,Female,Mary,12078
1890,Male,John,8502
1891,Female,Mary,11703
1891,Male,John,7680
1892,Female,Mary,13172
1892,Male,John,9039
1893,Female,Mary,12784
1893,Male,John,8049
1894,Female,Mary,13151
1894,Male,John,8238
1895,Female,Mary,13446
1895,Male,John,8320
1896,Female,Mary,13811
1896,Male,John,8138
1897,Female,Mary,13413
1897,Male,John,7550
1898,Female,Mary,14406
1898,Male,John,8159
1899,Female,Mary,13172
1899,Male,John,6990
1900,Female,Mary,16706
1900,Male,John,9829
1901,Female,Mary,13136
1901,Male,John,6900
1902,Female,Mary,14486
1902,Male,John,7907
1903,Female,Mary,14275
1903,Male,John,7608
1904,Female,Mary,14961
1904,Male,John,8108
1905,Female,Mary,16067
1905,Male,John,8060
1906,Female,Mary,16370
1906,Male,John,8265
1907,Female,Mary,17580
1907,Male,John,8983
1908,Female,Mary,18665
1908,Male,John,9342
1909,Female,Mary,19259
1909,Male,John,9591
1910,Female,Mary,22848
1910,Male,John,11450
1911,Female,Mary,24390
1911,Male,John,13446
1912,Female,Mary,32304
1912,Male,John,24587
1913,Female,Mary,36642
1913,Male,John,29329
1914,Female,Mary,45345
1914,Male,John,37948
1915,Female,Mary,58187
1915,Male,John,47576
1916,Female,Mary,61438
1916,Male,John,50043
1917,Female,Mary,64281
1917,Male,John,51853
1918,Female,Mary,67366
1918,Male,John,56558
1919,Female,Mary,65838
1919,Male,John,53528
1920,Female,Mary,70982
1920,Male,John,56913
1921,Female,Mary,73985
1921,Male,John,58217
1922,Female,Mary,72173
1922,Male,John,57277
1923,Female,Mary,71638
1923,Male,John,57470
1924,Female,Mary,73534
1924,Male,Robert,60801
1925,Female,Mary,70591
1925,Male,Robert,60897
1926,Female,Mary,67832
1926,Male,Robert,61130
1927,Female,Mary,70639
1927,Male,Robert,61669
1928,Female,Mary,66872
1928,Male,Robert,60699
1929,Female,Mary,63508
1929,Male,Robert,59798
1930,Female,Mary,64146
1930,Male,Robert,62149
1931,Female,Mary,60296
1931,Male,Robert,60508
1932,Female,Mary,59874
1932,Male,Robert,59266
1933,Female,Mary,55509
1933,Male,Robert,54218
1934,Female,Mary,56929
1934,Male,Robert,55829
1935,Female,Mary,55069
1935,Male,Robert,56524
1936,Female,Mary,54372
1936,Male,Robert,58492
1937,Female,Mary,55645
1937,Male,Robert,61835
1938,Female,Mary,56215
1938,Male,Robert,62268
1939,Female,Mary,54901
1939,Male,Robert,59645
1940,Female,Mary,56203
1940,Male,James,62473
1941,Female,Mary,58040
1941,Male,James,66736
1942,Female,Mary,63254
1942,Male,James,77176
1943,Female,Mary,66169
1943,Male,James,80261
1944,Female,Mary,62467
1944,Male,James,76951
1945,Female,Mary,59283
1945,Male,James,74449
1946,Female,Mary,67467
1946,Male,James,87436
1947,Female,Linda,99689
1947,Male,James,94757
1948,Female,Linda,96211
1948,Male,James,88584
1949,Female,Linda,91016
1949,Male,James,86857
1950,Female,Linda,80431
1950,Male,James,86224
1951,Female,Linda,73978
1951,Male,James,87261
1952,Female,Linda,67082
1952,Male,James,87063
1953,Female,Mary,64379
1953,Male,Robert,86256
1954,Female,Mary,68007
1954,Male,Michael,88528
1955,Female,Mary,63165
1955,Male,Michael,88327
1956,Female,Mary,61756
1956,Male,Michael,90656
1957,Female,Mary,61094
1957,Male,Michael,92704
1958,Female,Mary,55857
1958,Male,Michael,90517
1959,Female,Mary,54474
1959,Male,Michael,85251
1960,Female,Mary,51475
1960,Male,David,85929
1961,Female,Mary,47680
1961,Male,Michael,86917
1962,Female,Lisa,46078
1962,Male,Michael,85034
1963,Female,Lisa,56040
1963,Male,Michael,83782
1964,Female,Lisa,54275
1964,Male,Michael,82646
1965,Female,Lisa,60269
1965,Male,Michael,81021
1966,Female,Lisa,56914
1966,Male,Michael,79990
1967,Female,Lisa,52435
1967,Male,Michael,82436
1968,Female,Lisa,49532
1968,Male,Michael,82008
1969,Female,Lisa,45029
1969,Male,Michael,85203
1970,Female,Jennifer,46157
1970,Male,Michael,85302
1971,Female,Jennifer,56783
1971,Male,Michael,77594
1972,Female,Jennifer,63603
1972,Male,Michael,71405
1973,Female,Jennifer,62447
1973,Male,Michael,67847
1974,Female,Jennifer,63114
1974,Male,Michael,67578
1975,Female,Jennifer,58183
1975,Male,Michael,68454
1976,Female,Jennifer,59474
1976,Male,Michael,66954
1977,Female,Jennifer,58964
1977,Male,Michael,67616
1978,Female,Jennifer,56321
1978,Male,Michael,67158
1979,Female,Jennifer,56717
1979,Male,Michael,67739
1980,Female,Jennifer,58375
1980,Male,Michael,68696
1981,Female,Jennifer,57049
1981,Male,Michael,68763
1982,Female,Jennifer,57117
1982,Male,Michael,68235
1983,Female,Jennifer,54346
1983,Male,Michael,68000
1984,Female,Jennifer,50559
1984,Male,Michael,67741
1985,Female,Jessica,48347
1985,Male,Michael,64912
1986,Female,Jessica,52677
1986,Male,Michael,64208
1987,Female,Jessica,55994
1987,Male,Michael,63655
1988,Female,Jessica,51543
1988,Male,Michael,64143
1989,Female,Jessica,47884
1989,Male,Michael,65389
1990,Female,Jessica,46475
1990,Male,Michael,65290
1991,Female,Ashley,43478
1991,Male,Michael,60785
1992,Female,Ashley,38453
1992,Male,Michael,54392
1993,Female,Jessica,34987
1993,Male,Michael,49549
1994,Female,Jessica,32117
1994,Male,Michael,44469
1995,Female,Jessica,27938
1995,Male,Michael,41402
1996,Female,Emily,25151
1996,Male,Michael,38364
1997,Female,Emily,25732
1997,Male,Michael,37549
1998,Female,Emily,26182
1998,Male,Michael,36615
1999,Female,Emily,26539
1999,Male,Jacob,35363
2000,Female,Emily,25956
2000,Male,Jacob,34477
2001,Female,Emily,25057
2001,Male,Jacob,32545
2002,Female,Emily,24464
2002,Male,Jacob,30574
2003,Female,Emily,25691
2003,Male,Jacob,29638
2004,Female,Emily,25037
2004,Male,Jacob,27881
2005,Female,Emily,23940
2005,Male,Jacob,25833
2006,Female,Emily,21404
2006,Male,Jacob,24845
2007,Female,Emily,19355
2007,Male,Jacob,24282
2008,Female,Emma,18813
2008,Male,Jacob,22594
2009,Female,Isabella,22306
2009,Male,Jacob,21175
2010,Female,Isabella,22913
2010,Male,Jacob,22127
2011,Female,Sophia,21842
2011,Male,Jacob,20371
2012,Female,Sophia,22313
2012,Male,Jacob,19074
2013,Female,Sophia,21223
2013,Male,Noah,18257
2014,Female,Emma,20936
2014,Male,Noah,19305
2015,Female,Emma,20455
2015,Male,Noah,19635
2016,Female,Emma,19496
2016,Male,Noah,19117
2017,Female,Emma,19800
2017,Male,Liam,18798
2018,Female,Emma,18688
2018,Male,Liam,19837
