Geography,Estimate; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - In Armed Forces,Estimate; Less than high school graduate: - In labor force: - Civilian:,Estimate; Less than high school graduate: - In labor force: - Civilian: - Employed,Estimate; Less than high school graduate: - In labor force: - Civilian: - Unemployed,Estimate; Less than high school graduate: - Not in labor force,Estimate; High school graduate: - In labor force:,Estimate; High school graduate: - In labor force: - In Armed Forces,Estimate; High school graduate: - In labor force: - Civilian:,Estimate; High school graduate: - In labor force: - Civilian: - Employed,Estimate; High school graduate: - In labor force: - Civilian: - Unemployed,Estimate; High school graduate: - Not in labor force
"Abilene, TX Metro Area",6484,0,6484,5347,1137,7336,16331,242,16089,15268,821,8729
"Akron, OH Metro Area",14519,0,14519,11338,3181,12094,91228,0,91228,82462,8766,28828
"Albany, GA Metro Area",7681,0,7681,6202,1479,6008,14339,28,14311,12724,1587,7415
"Albany-Schenectady-Troy, NY Metro Area",16906,0,16906,13148,3758,12125,87217,172,87045,79712,7333,29063
"Albuquerque, NM Metro Area",30718,0,30718,26588,4130,20720,83536,172,83364,75155,8209,35556
"Asheville, NC Metro Area",15196,0,15196,12793,2403,10240,38994,0,38994,34939,4055,18773
"Athens-Clarke County, GA Metro Area",6358,0,6358,5626,732,5394,16112,33,16079,14725,1354,6713
"Atlanta-Sandy Springs-Marietta, GA Metro Area",203131,0,203131,170063,33068,122771,515869,119,515750,453032,62718,181180
"Atlantic City-Hammonton, NJ Metro Area",16913,0,16913,12378,4535,6033,35097,52,35045,29701,5344,9485
"Auburn-Opelika, AL Metro Area",3516,0,3516,3273,243,4450,14150,294,13856,12943,913,4766
"Augusta-Richmond County, GA-SC Metro Area",16935,0,16935,13889,3046,19461,61383,338,61045,55274,5771,26228
"Austin-Round Rock-San Marcos, TX Metro Area",80346,0,80346,71561,8785,36040,147657,280,147377,135853,11524,46502
"Bakersfield-Delano, CA Metro Area",71967,0,71967,59419,12548,43866,73871,81,73790,63974,9816,34037
"Baltimore-Towson, MD Metro Area",73757,0,73757,58833,14924,51739,288268,924,287344,256791,30553,93311
"Bangor, ME Metro Area",2075,0,2075,1858,217,2536,21019,0,21019,19428,1591,9327
"Barnstable Town, MA Metro Area",3337,0,3337,2816,521,2653,18689,103,18586,16639,1947,5239
"Baton Rouge, LA Metro Area",29336,0,29336,25063,4273,20240,107276,230,107046,99988,7058,33746
"Battle Creek, MI Metro Area",3428,0,3428,2865,563,2600,15954,0,15954,12910,3044,6945
"Bay City, MI Metro Area",1983,0,1983,1737,246,2858,12080,0,12080,10336,1744,6896
"Beaumont-Port Arthur, TX Metro Area",15684,0,15684,13267,2417,14198,47186,0,47186,42987,4199,21946
"Bellingham, WA Metro Area",5772,0,5772,5415,357,3569,16757,51,16706,14804,1902,5938
"Bend, OR Metro Area",4525,0,4525,4021,504,1780,15001,0,15001,12858,2143,4649
"Billings, MT Metro Area",2255,0,2255,1799,456,1743,19325,102,19223,18268,955,5106
"Binghamton, NY Metro Area",4572,0,4572,3795,777,3944,28181,0,28181,24913,3268,10489
"Birmingham-Hoover, AL Metro Area",35146,0,35146,29996,5150,33919,106820,0,106820,96676,10144,48644
"Bismarck, ND Metro Area",1173,0,1173,996,177,357,12380,0,12380,11905,475,2961
"Buffalo-Niagara Falls, NY Metro Area",20812,0,20812,17138,3674,20745,115686,0,115686,105319,10367,44086
"Burlington, NC Metro Area",7104,0,7104,6038,1066,4452,16977,0,16977,15507,1470,5551
"Burlington-South Burlington, VT Metro Area",4203,0,4203,3667,536,1989,22732,32,22700,21094,1606,5670
"Canton-Massillon, OH Metro Area",8995,0,8995,7777,1218,7311,57425,0,57425,52290,5135,18124
"Cape Coral-Fort Myers, FL Metro Area",27285,0,27285,23320,3965,15382,72021,0,72021,61876,10145,24373
"Cape Girardeau-Jackson, MO-IL Metro Area",2291,0,2291,1938,353,1599,11623,0,11623,11183,440,5306
"Carson City, NV Metro Area",2920,0,2920,2375,545,2031,4984,0,4984,4300,684,2105
"Casper, WY Metro Area",2366,0,2366,2019,347,892,8048,0,8048,7287,761,2668
"Cedar Rapids, IA Metro Area",4405,0,4405,3439,966,1497,24837,0,24837,23044,1793,7992
"Champaign-Urbana, IL Metro Area",3250,0,3250,2667,583,2419,18634,0,18634,17404,1230,5339
"Charleston, WV Metro Area",6649,0,6649,5880,769,10353,37796,0,37796,35235,2561,21068
"Charleston-North Charleston-Summerville, SC Metro Area",22180,0,22180,18680,3500,15307,66611,503,66108,59366,6742,23433
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",71325,0,71325,59868,11457,37694,172615,69,172546,153766,18780,56268
"Charlottesville, VA Metro Area",4464,0,4464,4117,347,4818,20443,0,20443,19842,601,5790
"Cleveland, TN Metro Area",4469,0,4469,3481,988,4226,15076,73,15003,12562,2441,6903
"Cleveland-Elyria-Mentor, OH Metro Area",52585,0,52585,40116,12469,45922,225601,180,225421,200238,25183,78293
"Coeur d'Alene, ID Metro Area",2259,0,2259,1690,569,1788,14894,0,14894,12709,2185,6034
"College Station-Bryan, TX Metro Area",11658,0,11658,10450,1208,5225,16246,0,16246,14291,1955,6111
"Colorado Springs, CO Metro Area",11346,0,11346,10126,1220,5988,54881,3245,51636,47712,3924,19467
"Columbia, MO Metro Area",2232,0,2232,1870,362,1228,11184,0,11184,9612,1572,4219
"Columbia, SC Metro Area",19392,0,19392,16172,3220,14188,80707,1173,79534,69898,9636,30051
"Columbus, GA-AL Metro Area",7657,0,7657,6260,1397,10297,26808,1221,25587,22866,2721,14145
"Columbus, IN Metro Area",1704,0,1704,1484,220,1596,11811,0,11811,11520,291,2549
"Columbus, OH Metro Area",45594,0,45594,38303,7291,35425,195696,140,195556,180306,15250,70816
"Corpus Christi, TX Metro Area",26844,0,26844,24787,2057,14822,44425,49,44376,41549,2827,15330
"Corvallis, OR Metro Area",1182,0,1182,1171,11,1124,3456,127,3329,2944,385,1932
"Crestview-Fort Walton Beach-Destin, FL Metro Area",5262,0,5262,4837,425,2651,19233,281,18952,17187,1765,6751
"Cumberland, MD-WV Metro Area",1681,0,1681,1600,81,2942,15146,0,15146,13536,1610,7869
"Dallas-Fort Worth-Arlington, TX Metro Area",382542,0,382542,347959,34583,174862,597389,267,597122,546146,50976,189713
"Dalton, GA Metro Area",15872,0,15872,13297,2575,6792,15329,0,15329,13770,1559,5671
"Danville, IL Metro Area",2191,0,2191,1748,443,2512,10589,0,10589,9225,1364,4646
"Danville, VA Metro Area",3725,0,3725,3220,505,3372,12111,0,12111,11446,665,7059
"Davenport-Moline-Rock Island, IA-IL Metro Area",7931,0,7931,6893,1038,6143,40920,0,40920,37203,3717,13319
"Dayton, OH Metro Area",22267,0,22267,17623,4644,16578,88328,0,88328,79287,9041,35373
"Durham-Chapel Hill, NC Metro Area",20600,0,20600,17682,2918,11204,34034,0,34034,31334,2700,13934
"Eau Claire, WI Metro Area",2590,0,2590,2249,341,2149,17692,0,17692,16409,1283,5555
"El Centro, CA Metro Area",12918,152,12766,10178,2588,12198,14478,61,14417,11776,2641,7596
"Elizabethtown, KY Metro Area",3320,0,3320,2651,669,3211,14907,593,14314,12651,1663,5814
"Elkhart-Goshen, IN Metro Area",13307,0,13307,11703,1604,6352,26640,0,26640,25160,1480,9118
"Elmira, NY Metro Area",2112,0,2112,1682,430,2317,10896,16,10880,10131,749,4344
"El Paso, TX Metro Area",44260,0,44260,39391,4869,35671,72052,2807,69245,62323,6922,27662
"Erie, PA Metro Area",4614,0,4614,3859,755,5473,40203,67,40136,36637,3499,13342
"Eugene-Springfield, OR Metro Area",9743,0,9743,7868,1875,5131,30458,0,30458,26520,3938,13550
"Evansville, IN-KY Metro Area",8193,0,8193,7025,1168,5412,45120,0,45120,41792,3328,16254
"Fairbanks, AK Metro Area",1144,0,1144,1144,0,1415,10086,764,9322,7831,1491,2857
"Fargo, ND-MN Metro Area",2660,0,2660,2286,374,818,18511,0,18511,18021,490,3850
"Farmington, NM Metro Area",4385,0,4385,3516,869,3738,13541,0,13541,11803,1738,6690
"Fayetteville, NC Metro Area",9322,0,9322,7607,1715,8056,34257,3210,31047,27483,3564,15231
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",24302,0,24302,23283,1019,9803,55872,0,55872,52139,3733,17819
"Flagstaff, AZ Metro Area",5048,0,5048,4329,719,2455,12167,37,12130,10917,1213,4131
"Flint, MI Metro Area",8563,0,8563,5557,3006,8211,44636,0,44636,37499,7137,26851
"Florence, SC Metro Area",6559,0,6559,5563,996,8123,23479,82,23397,20115,3282,10537
"Florence-Muscle Shoals, AL Metro Area",5370,0,5370,4583,787,4738,17655,0,17655,16158,1497,8225
"Fond du Lac, WI Metro Area",2420,0,2420,2050,370,1328,16251,0,16251,15026,1225,3160
"Fort Collins-Loveland, CO Metro Area",4614,0,4614,3700,914,2709,21024,0,21024,19171,1853,5019
"Fort Smith, AR-OK Metro Area",12660,0,12660,11111,1549,10865,37447,0,37447,34961,2486,18052
"Fort Wayne, IN Metro Area",11267,0,11267,8812,2455,8832,50372,0,50372,46762,3610,15521
"Great Falls, MT Metro Area",1763,0,1763,1409,354,1726,10453,99,10354,9593,761,3031
"Greeley, CO Metro Area",14600,0,14600,13509,1091,5564,25382,0,25382,23145,2237,7283
"Green Bay, WI Metro Area",8562,0,8562,7930,632,4245,41444,0,41444,39218,2226,11533
"Greensboro-High Point, NC Metro Area",30917,0,30917,25218,5699,18351,80146,0,80146,69826,10320,27285
"Greenville, NC Metro Area",6756,0,6756,6189,567,4532,17631,36,17595,15223,2372,6282
"Greenville-Mauldin-Easley, SC Metro Area",26012,0,26012,19508,6504,19363,66568,111,66457,59439,7018,25652
"Gulfport-Biloxi, MS Metro Area",9863,0,9863,8057,1806,6518,30238,243,29995,26782,3213,9451
"Hagerstown-Martinsburg, MD-WV Metro Area",9083,0,9083,6860,2223,8309,41013,48,40965,37923,3042,14249
"Hanford-Corcoran, CA Metro Area",10070,0,10070,8641,1429,10610,13077,315,12762,10470,2292,8490
"Harrisburg-Carlisle, PA Metro Area",15124,0,15124,12652,2472,9899,77392,142,77250,71243,6007,23197
"Harrisonburg, VA Metro Area",6089,0,6089,5189,900,2717,15405,0,15405,14525,880,3751
"Hartford-West Hartford-East Hartford, CT Metro Area",29665,0,29665,23806,5859,21521,129041,101,128940,113846,15094,34828
"Hattiesburg, MS Metro Area",3917,0,3917,3196,721,3738,14253,0,14253,12593,1660,7157
"Hickory-Lenoir-Morganton, NC Metro Area",16941,0,16941,13976,2965,16991,45128,0,45128,39819,5309,15094
"Hinesville-Fort Stewart, GA Metro Area",2241,0,2241,1834,407,2245,9073,673,8400,7074,1326,3223
"Holland-Grand Haven, MI Metro Area",6418,0,6418,5493,925,2430,30599,0,30599,27471,3128,9306
"Honolulu, HI Metro Area",21658,0,21658,19792,1866,13348,96347,5177,91170,83371,7799,32428
"Hot Springs, AR Metro Area",3135,0,3135,2743,392,1435,8923,0,8923,7754,1169,5097
"Houma-Bayou Cane-Thibodaux, LA Metro Area",11464,0,11464,10270,1194,10911,32380,0,32380,30652,1728,10521
"Houston-Sugar Land-Baytown, TX Metro Area",421554,0,421554,384930,36624,192864,570751,63,570688,519263,51425,195804
"Jacksonville, FL Metro Area",43912,0,43912,32427,11485,30221,148065,2202,145863,127966,17897,60305
"Jacksonville, NC Metro Area",3072,0,3072,2717,355,1709,16170,2430,13740,12247,1493,7929
"Janesville, WI Metro Area",6547,0,6547,6023,524,4164,18567,0,18567,16677,1890,6470
"Jefferson City, MO Metro Area",3236,0,3236,3061,175,4524,18148,0,18148,17339,809,7923
"Johnson City, TN Metro Area",6916,0,6916,6029,887,7377,24587,0,24587,23185,1402,10471
"Johnstown, PA Metro Area",1785,0,1785,1627,158,2607,22479,0,22479,20813,1666,9745
"Jonesboro, AR Metro Area",3398,0,3398,3324,74,3028,17338,0,17338,16158,1180,5377
"Joplin, MO Metro Area",7447,0,7447,6818,629,4391,21422,0,21422,19740,1682,8042
"Kalamazoo-Portage, MI Metro Area",6056,0,6056,4513,1543,5742,26961,0,26961,23490,3471,11880
"Kankakee-Bradley, IL Metro Area",4166,0,4166,3386,780,3354,14214,0,14214,13152,1062,4774
"Kansas City, MO-KS Metro Area",52406,0,52406,43871,8535,34436,208041,21,208020,189444,18576,67404
"Kennewick-Pasco-Richland, WA Metro Area",15504,0,15504,14103,1401,5874,23899,0,23899,21936,1963,7854
"Killeen-Temple-Fort Hood, TX Metro Area",9386,0,9386,8160,1226,10696,40106,4102,36004,33165,2839,20162
"Kingsport-Bristol-Bristol, TN-VA Metro Area",8626,0,8626,7724,902,12045,40408,0,40408,36190,4218,19350
"Kingston, NY Metro Area",4473,0,4473,3520,953,4121,18217,0,18217,16238,1979,10125
"Knoxville, TN Metro Area",16981,0,16981,14362,2619,18653,71294,0,71294,63773,7521,28607
"Kokomo, IN Metro Area",1890,0,1890,1669,221,3237,11666,0,11666,10794,872,5927
"La Crosse, WI-MN Metro Area",1202,0,1202,1084,118,912,14418,0,14418,13648,770,3954
"Lafayette, IN Metro Area",5463,0,5463,4440,1023,3381,18493,0,18493,17139,1354,6539
"Lafayette, LA Metro Area",12663,0,12663,10757,1906,7384,37006,48,36958,34476,2482,12423
"Lake Charles, LA Metro Area",7469,0,7469,5967,1502,5852,29359,0,29359,27162,2197,10490
"Lake Havasu City-Kingman, AZ Metro Area",8788,0,8788,6809,1979,10178,21010,0,21010,17747,3263,13849
"Lakeland-Winter Haven, FL Metro Area",26414,0,26414,22059,4355,19870,74442,0,74442,63412,11030,33352
"Lancaster, PA Metro Area",23152,0,23152,20509,2643,13451,80312,0,80312,74510,5802,20780
"Lansing-East Lansing, MI Metro Area",8930,0,8930,6745,2185,5490,38577,0,38577,33860,4717,15472
"Laredo, TX Metro Area",19933,0,19933,18772,1161,19326,19551,0,19551,19011,540,9174
"Las Cruces, NM Metro Area",12802,0,12802,10354,2448,6418,16793,57,16736,15277,1459,6519
"Las Vegas-Paradise, NV Metro Area",112047,0,112047,94325,17722,51145,245900,228,245672,209574,36098,72791
"Longview, WA Metro Area",3665,0,3665,3201,464,2833,10229,0,10229,7799,2430,5085
"Los Angeles-Long Beach-Santa Ana, CA Metro Area",975185,0,975185,864147,111038,442117,1035792,1147,1034645,915256,119389,341489
"Louisville/Jefferson County, KY-IN Metro Area",35501,0,35501,29106,6395,31138,158958,232,158726,142230,16496,56021
"Lubbock, TX Metro Area",11408,0,11408,10272,1136,7187,25393,0,25393,22763,2630,8130
"Lynchburg, VA Metro Area",7138,0,7138,6355,783,6628,28304,0,28304,26432,1872,12561
"Macon, GA Metro Area",9431,0,9431,7805,1626,8331,25250,0,25250,23117,2133,13401
"Madera-Chowchilla, CA Metro Area",14532,0,14532,13880,652,8071,9826,0,9826,9330,496,10019
"Madison, WI Metro Area",10274,0,10274,9398,876,4044,51672,0,51672,47900,3772,12251
"Manchester-Nashua, NH Metro Area",10549,0,10549,9305,1244,4836,46277,73,46204,44141,2063,11774
"Manhattan, KS Metro Area",1983,173,1810,1617,193,1419,13229,1641,11588,11041,547,2644
"Mankato-North Mankato, MN Metro Area",1004,0,1004,930,74,744,10201,0,10201,9699,502,1877
"Mansfield, OH Metro Area",2888,0,2888,2574,314,4094,18347,0,18347,16684,1663,6838
"McAllen-Edinburg-Mission, TX Metro Area",73427,0,73427,63937,9490,46002,63039,0,63039,56271,6768,25637
"Medford, OR Metro Area",7887,0,7887,6268,1619,3279,19497,0,19497,16785,2712,8595
"Memphis, TN-MS-AR Metro Area",44702,0,44702,36073,8629,38631,142018,139,141879,125687,16192,54346
"Merced, CA Metro Area",25705,0,25705,22293,3412,12646,24227,0,24227,18660,5567,8773
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",253994,0,253994,211625,42369,125764,656858,165,656693,576135,80558,192897
"Michigan City-La Porte, IN Metro Area",2864,0,2864,2491,373,3915,16212,0,16212,14583,1629,7641
"Midland, TX Metro Area",8846,0,8846,8662,184,3149,13769,0,13769,13342,427,4019
"Milwaukee-Waukesha-West Allis, WI Metro Area",42001,0,42001,35318,6683,29619,159336,0,159336,143434,15902,49392
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",72139,0,72139,62666,9473,37024,289884,132,289752,266690,23062,78301
"Missoula, MT Metro Area",1270,0,1270,1112,158,732,9322,0,9322,8218,1104,2638
"Mobile, AL Metro Area",13732,0,13732,10486,3246,14672,46322,168,46154,40836,5318,22674
"Modesto, CA Metro Area",36884,0,36884,29547,7337,18012,54606,71,54535,44655,9880,19242
"Monroe, LA Metro Area",5962,0,5962,5299,663,5660,18766,0,18766,17596,1170,12113
"New Haven-Milford, CT Metro Area",24900,0,24900,21058,3842,17853,103041,0,103041,88636,14405,29415
"New Orleans-Metairie-Kenner, LA Metro Area",52621,0,52621,43240,9381,34757,130556,151,130405,118017,12388,49102
"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",882517,0,882517,765457,117060,479389,1862743,698,1862045,1663710,198335,628528
"Niles-Benton Harbor, MI Metro Area",4767,0,4767,3902,865,3924,18062,0,18062,15966,2096,6572
"North Port-Bradenton-Sarasota, FL Metro Area",23072,0,23072,18528,4544,9822,74077,0,74077,64824,9253,25235
"Norwich-New London, CT Metro Area",6535,0,6535,5080,1455,3369,37378,602,36776,33405,3371,9378
"Ocala, FL Metro Area",9744,0,9744,8055,1689,9245,37214,0,37214,32386,4828,18787
"Ocean City, NJ Metro Area",3430,0,3430,2319,1111,1440,11744,187,11557,10017,1540,4438
"Odessa, TX Metro Area",10795,0,10795,9788,1007,7151,15681,0,15681,15273,408,4397
"Ogden-Clearfield, UT Metro Area",13171,0,13171,12056,1115,4432,51218,137,51081,48035,3046,14756
"Oklahoma City, OK Metro Area",48311,30,48281,44358,3923,27016,127133,316,126817,118987,7830,51461
"Olympia, WA Metro Area",4284,0,4284,3447,837,3380,24740,372,24368,21580,2788,7082
"Omaha-Council Bluffs, NE-IA Metro Area",27250,0,27250,23833,3417,13818,81985,160,81825,77054,4771,22797
"Orlando-Kissimmee-Sanford, FL Metro Area",81144,0,81144,66823,14321,42974,247974,0,247974,214904,33070,81437
"Oshkosh-Neenah, WI Metro Area",3025,0,3025,2800,225,2520,20350,0,20350,18160,2190,6701
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",147765,0,147765,120659,27106,130998,686348,402,685946,602689,83257,237929
"Phoenix-Mesa-Glendale, AZ Metro Area",187133,0,187133,164443,22690,111999,360022,294,359728,325633,34095,142314
"Pine Bluff, AR Metro Area",2849,0,2849,2200,649,4714,11444,0,11444,10106,1338,9215
"Pittsburgh, PA Metro Area",31079,0,31079,25311,5768,30925,284230,68,284162,260434,23728,107054
"Pittsfield, MA Metro Area",2228,0,2228,2020,208,2151,16483,0,16483,14427,2056,5012
"Pocatello, ID Metro Area",1410,0,1410,1202,208,1082,9824,0,9824,8957,867,3234
"Portland-South Portland-Biddeford, ME Metro Area",9611,0,9611,8585,1026,6985,58366,93,58273,53540,4733,17784
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",68515,0,68515,58697,9818,35538,197954,237,197717,174778,22939,67948
"Port St. Lucie, FL Metro Area",17008,0,17008,13681,3327,11155,41469,0,41469,36910,4559,17101
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",18629,37,18592,16844,1748,12535,69489,0,69489,62367,7122,26014
"Prescott, AZ Metro Area",7678,0,7678,7135,543,3953,18864,0,18864,16643,2221,6569
"Providence-New Bedford-Fall River, RI-MA Metro Area",57252,0,57252,48500,8752,41519,178742,271,178471,159306,19165,55346
"Provo-Orem, UT Metro Area",11813,0,11813,10742,1071,4616,30684,0,30684,28652,2032,10072
"Pueblo, CO Metro Area",4348,0,4348,3001,1347,4003,15544,0,15544,14149,1395,7866
"Punta Gorda, FL Metro Area",4663,0,4663,2552,2111,3445,13920,0,13920,12980,940,7952
"Racine, WI Metro Area",5013,0,5013,4002,1011,4439,22214,0,22214,20054,2160,7241
"Rochester, NY Metro Area",23489,0,23489,19736,3753,18800,106245,11,106234,97834,8400,38288
"Rockford, IL Metro Area",13195,0,13195,10277,2918,7674,46232,0,46232,41007,5225,13183
"Rocky Mount, NC Metro Area",7311,0,7311,6153,1158,6861,19596,0,19596,16149,3447,7506
"Rome, GA Metro Area",5480,0,5480,4241,1239,5220,9550,0,9550,7614,1936,3443
"Sacramento--Arden-Arcade--Roseville, CA Metro Area",78422,0,78422,64321,14101,51886,176930,277,176653,149176,27477,65446
"Saginaw-Saginaw Township North, MI Metro Area",4388,0,4388,2808,1580,6335,19958,0,19958,17563,2395,11248
"St. Cloud, MN Metro Area",3458,0,3458,3089,369,1771,21809,0,21809,20531,1278,4934
"St. George, UT Metro Area",3118,0,3118,2616,502,2018,11632,0,11632,10649,983,3140
"St. Joseph, MO-KS Metro Area",3799,0,3799,3370,429,4329,16985,0,16985,15480,1505,7525
"St. Louis, MO-IL Metro Area",70081,0,70081,56526,13555,52064,281281,100,281181,251010,30171,97853
"Salem, OR Metro Area",22570,0,22570,17606,4964,7680,36661,31,36630,31463,5167,14036
"Salinas, CA Metro Area",47293,0,47293,42585,4708,21106,30708,114,30594,27807,2787,10093
"Salisbury, MD Metro Area",4499,0,4499,3989,510,4208,14155,23,14132,12688,1444,6184
"Salt Lake City, UT Metro Area",45472,0,45472,39866,5606,19775,101058,44,101014,92910,8104,26527
"San Angelo, TX Metro Area",4586,0,4586,4334,252,2885,15204,38,15166,13916,1250,4522
"San Antonio-New Braunfels, TX Metro Area",100761,0,100761,91572,9189,64960,219606,628,218978,203897,15081,70689
"San Diego-Carlsbad-San Marcos, CA Metro Area",143364,270,143094,128583,14511,79802,235227,7969,227258,200891,26367,84189
"Sandusky, OH Metro Area",1842,0,1842,1631,211,1961,11516,0,11516,10854,662,2917
"San Francisco-Oakland-Fremont, CA Metro Area",183672,0,183672,161402,22270,93850,300357,40,300317,265119,35198,97412
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",92968,0,92968,81431,11537,41064,116564,0,116564,101224,15340,34688
"San Luis Obispo-Paso Robles, CA Metro Area",8335,0,8335,7986,349,3740,17905,289,17616,16248,1368,6717
"Santa Barbara-Santa Maria-Goleta, CA Metro Area",33519,0,33519,29316,4203,12524,28755,0,28755,25873,2882,10516
"Santa Cruz-Watsonville, CA Metro Area",15756,0,15756,14399,1357,4222,15492,0,15492,13897,1595,5597
"Santa Fe, NM Metro Area",8426,0,8426,6913,1513,3156,10707,0,10707,9664,1043,4924
"Sioux Falls, SD Metro Area",6580,0,6580,5588,992,2171,31514,43,31471,30397,1074,5988
"South Bend-Mishawaka, IN-MI Metro Area",10734,0,10734,8389,2345,6734,35665,0,35665,32018,3647,11308
"Spartanburg, SC Metro Area",12552,0,12552,10512,2040,12083,32370,46,32324,28865,3459,12720
"Spokane, WA Metro Area",8130,0,8130,6999,1131,7115,43504,145,43359,38882,4477,15717
"Springfield, IL Metro Area",4403,0,4403,3311,1092,3524,22741,15,22726,20802,1924,6902
"Springfield, MA Metro Area",18018,0,18018,15341,2677,18230,70070,76,69994,61872,8122,24214
"Springfield, MO Metro Area",12095,0,12095,9316,2779,10076,45077,0,45077,41166,3911,16459
"Springfield, OH Metro Area",4128,0,4128,2890,1238,3358,18646,0,18646,16474,2172,7996
"State College, PA Metro Area",1723,0,1723,1516,207,1893,14932,10,14922,13857,1065,5056
"Steubenville-Weirton, OH-WV Metro Area",2071,0,2071,1951,120,3402,16388,0,16388,14851,1537,8282
"Stockton, CA Metro Area",45099,0,45099,37002,8097,27629,62553,0,62553,50214,12339,24882
"Sumter, SC Metro Area",3943,0,3943,2969,974,2810,11982,137,11845,10727,1118,4079
"Syracuse, NY Metro Area",14167,0,14167,12037,2130,13931,70388,128,70260,64685,5575,25800
"Tallahassee, FL Metro Area",7401,0,7401,6043,1358,7606,28072,0,28072,24692,3380,13737
"Tampa-St. Petersburg-Clearwater, FL Metro Area",91715,0,91715,75512,16203,61388,311964,0,311964,273459,38505,125239
"Terre Haute, IN Metro Area",4687,0,4687,4207,480,5577,22671,68,22603,20541,2062,9390
"Texarkana, TX-Texarkana, AR Metro Area",3092,0,3092,2706,386,4575,18177,0,18177,16815,1362,8481
"Toledo, OH Metro Area",15476,0,15476,11598,3878,13299,75009,0,75009,66607,8402,27580
"Topeka, KS Metro Area",4954,0,4954,4596,358,4116,28816,0,28816,26068,2748,9392
"Trenton-Ewing, NJ Metro Area",12852,0,12852,9590,3262,6349,39967,0,39967,33659,6308,13070
"Waco, TX Metro Area",11470,0,11470,10173,1297,6048,22615,0,22615,19894,2721,7683
"Warner Robins, GA Metro Area",4293,0,4293,3744,549,2106,12773,8,12765,11341,1424,5829
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",216703,0,216703,195386,21317,78780,482023,1829,480194,436335,43859,120480
"Waterloo-Cedar Falls, IA Metro Area",4858,0,4858,4191,667,2297,20318,0,20318,19429,889,5094
"Wausau, WI Metro Area",3814,0,3814,2836,978,1292,20617,35,20582,19363,1219,4582
"Wenatchee-East Wenatchee, WA Metro Area",7258,0,7258,6528,730,2734,11225,0,11225,10019,1206,4611
"Wheeling, WV-OH Metro Area",3902,0,3902,3709,193,3530,20559,0,20559,18908,1651,8828
"Wichita, KS Metro Area",19870,0,19870,18200,1670,10477,60779,246,60533,54823,5710,21754
"Wichita Falls, TX Metro Area",3875,0,3875,3521,354,4121,17227,98,17129,16503,626,7551
"Williamsport, PA Metro Area",3435,0,3435,2675,760,1993,17595,0,17595,16140,1455,6325
"Wilmington, NC Metro Area",11877,0,11877,9273,2604,6839,33873,115,33758,30146,3612,13797
"Winchester, VA-WV Metro Area",4135,0,4135,3340,795,3337,17341,0,17341,16103,1238,6065
"Winston-Salem, NC Metro Area",23169,0,23169,19094,4075,11517,48891,65,48826,42187,6639,18273
"Worcester, MA Metro Area",17925,0,17925,14961,2964,16620,90973,0,90973,80798,10175,28570
"Yakima, WA Metro Area",24148,0,24148,21053,3095,9982,21566,0,21566,20002,1564,8612
"York-Hanover, PA Metro Area",14583,0,14583,12097,2486,7403,72949,87,72862,67038,5824,20556
"Youngstown-Warren-Boardman, OH-PA Metro Area",13440,0,13440,11609,1831,12562,78959,0,78959,72385,6574,36753
"Yuma, AZ Metro Area",15284,0,15284,12140,3144,9089,12348,329,12019,10779,1240,7079