Geography,Estimate; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - In Armed Forces,Estimate; Some college or associate's degree: - In labor force: - Civilian:,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Employed,Estimate; Some college or associate's degree: - In labor force: - Civilian: - Unemployed,Estimate; Some college or associate's degree: - Not in labor force,Estimate; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - In Armed Forces,Estimate; Bachelor's degree or higher: - In labor force: - Civilian:,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Employed,Estimate; Bachelor's degree or higher: - In labor force: - Civilian: - Unemployed,Estimate; Bachelor's degree or higher: - Not in labor force
"Abilene, TX Metro Area",20430,705,19725,18421,1304,5839,13488,579,12909,12770,139,3633
"Akron, OH Metro Area",86994,123,86871,79172,7699,24017,97736,43,97693,94492,3201,13895
"Albany, GA Metro Area",21299,105,21194,18370,2824,6520,12298,247,12051,11493,558,2599
"Albany-Schenectady-Troy, NY Metro Area",126758,756,126002,117400,8602,24532,146744,572,146172,142431,3741,22891
"Albuquerque, NM Metro Area",122337,617,121720,113275,8445,42564,120155,1179,118976,114318,4658,21356
"Alexandria, LA Metro Area",17705,468,17237,16218,1019,6736,12147,99,12048,11963,85,2247
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",105351,23,105328,98521,6807,22048,112551,94,112457,107986,4471,14662
"Anniston-Oxford, AL Metro Area",15059,28,15031,12942,2089,4550,7855,121,7734,7515,219,1951
"Appleton, WI Metro Area",36481,0,36481,35125,1356,6288,34022,0,34022,33382,640,4288
"Asheville, NC Metro Area",59976,192,59784,55616,4168,15584,59231,0,59231,56758,2473,10673
"Athens-Clarke County, GA Metro Area",16994,160,16834,15840,994,5316,27047,0,27047,26316,731,5814
"Atlanta-Sandy Springs-Marietta, GA Metro Area",692888,1550,691338,622432,68906,166654,949286,2257,947029,894417,52612,152310
"Atlantic City-Hammonton, NJ Metro Area",32301,25,32276,28943,3333,5981,33224,402,32822,30868,1954,5769
"Auburn-Opelika, AL Metro Area",14209,491,13718,12663,1055,4542,20348,481,19867,19465,402,4158
"Augusta-Richmond County, GA-SC Metro Area",74053,3462,70591,64622,5969,25823,61856,1588,60268,57623,2645,13202
"Austin-Round Rock-San Marcos, TX Metro Area",240071,801,239270,225882,13388,49668,361361,710,360651,347129,13522,55597
"Bend, OR Metro Area",23976,207,23769,21430,2339,8440,21860,0,21860,20081,1779,6919
"Billings, MT Metro Area",27077,52,27025,26437,588,5657,21715,59,21656,21165,491,2704
"Binghamton, NY Metro Area",33735,0,33735,31692,2043,8657,32669,0,32669,31301,1368,5371
"Birmingham-Hoover, AL Metro Area",151880,183,151697,140271,11426,51806,154699,400,154299,149648,4651,27649
"Bismarck, ND Metro Area",19635,204,19431,18787,644,3150,18642,66,18576,18480,96,2313
"Blacksburg-Christiansburg-Radford, VA Metro Area",16522,0,16522,15294,1228,5101,20318,106,20212,19767,445,4440
"Bloomington, IN Metro Area",21025,0,21025,20077,948,5616,25224,0,25224,23815,1409,5534
"Bloomington-Normal, IL Metro Area",20023,327,19696,18795,901,3244,35133,0,35133,34329,804,4091
"Boise City-Nampa, ID Metro Area",96513,235,96278,88578,7700,26982,87949,146,87803,84310,3493,14601
"Boston-Cambridge-Quincy, MA-NH Metro Area",501407,749,500658,465663,34995,103663,1046048,1442,1044606,1000552,44054,138902
"Boulder, CO Metro Area",31041,47,30994,28967,2027,6649,84640,0,84640,81863,2777,12768
"Bowling Green, KY Metro Area",15935,0,15935,14947,988,3713,13334,0,13334,12830,504,2144
"Bremerton-Silverdale, WA Metro Area",43159,4730,38429,34799,3630,15155,33544,2033,31511,29979,1532,6232
"Bridgeport-Stamford-Norwalk, CT Metro Area",93871,78,93793,84203,9590,19474,209091,110,208981,197929,11052,37406
"Carson City, NV Metro Area",9945,0,9945,9138,807,2064,4290,0,4290,4193,97,1064
"Casper, WY Metro Area",15540,0,15540,15255,285,2590,9356,0,9356,9262,94,962
"Cedar Rapids, IA Metro Area",43563,15,43548,41985,1563,8884,40360,0,40360,39533,827,5296
"Champaign-Urbana, IL Metro Area",26849,41,26808,25576,1232,5298,40629,0,40629,39157,1472,7149
"Charleston, WV Metro Area",33487,62,33425,31975,1450,13944,36361,106,36255,35518,737,4725
"Charleston-North Charleston-Summerville, SC Metro Area",99824,1974,97850,88238,9612,26482,106763,1832,104931,100434,4497,16530
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",250545,485,250060,226491,23569,57145,311103,540,310563,297529,13034,46251
"Charlottesville, VA Metro Area",20718,421,20297,19191,1106,3749,37479,192,37287,36419,868,9363
"Chattanooga, TN-GA Metro Area",78964,82,78882,72805,6077,19797,57818,161,57657,55959,1698,9659
"Cheyenne, WY Metro Area",15645,893,14752,13835,917,4237,10127,274,9853,9853,0,2210
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",1193115,2612,1190503,1072537,117966,258617,1670833,1758,1669075,1584740,84335,243594
"Chico, CA Metro Area",34065,206,33859,29049,4810,11641,20244,0,20244,18033,2211,6047
"Cincinnati-Middletown, OH-KY-IN Metro Area",277833,278,277555,257862,19693,64114,314953,131,314822,304809,10013,46435
"Clarksville, TN-KY Metro Area",42288,6780,35508,31811,3697,14228,26127,3607,22520,21687,833,5185
"Cleveland, TN Metro Area",15241,0,15241,13361,1880,4540,9899,0,9899,9114,785,1678
"Cleveland-Elyria-Mentor, OH Metro Area",279473,237,279236,257413,21823,71817,300140,292,299848,287263,12585,43467
"Coeur d'Alene, ID Metro Area",24486,78,24408,22448,1960,7088,13675,0,13675,13148,527,3342
"College Station-Bryan, TX Metro Area",20372,48,20324,18378,1946,5225,31246,356,30890,30298,592,4718
"Colorado Springs, CO Metro Area",108506,8563,99943,91562,8381,29054,104353,5424,98929,94436,4493,19557
"Columbia, MO Metro Area",18943,55,18888,17818,1070,4247,38441,103,38338,37226,1112,4835
"Columbia, SC Metro Area",110863,2808,108055,98921,9134,25222,116098,2507,113591,110061,3530,18915
"Columbus, GA-AL Metro Area",48424,2788,45636,41405,4231,14386,30974,2559,28415,27500,915,4784
"Columbus, IN Metro Area",8733,14,8719,8250,469,2654,10820,0,10820,10585,235,1663
"Columbus, OH Metro Area",242676,297,242379,226892,15487,58770,327519,264,327255,317887,9368,42303
"Corpus Christi, TX Metro Area",65654,468,65186,62770,2416,15265,34783,685,34098,32635,1463,5988
"Corvallis, OR Metro Area",8360,0,8360,7274,1086,2276,18356,69,18287,17750,537,3844
"Crestview-Fort Walton Beach-Destin, FL Metro Area",31312,2893,28419,26974,1445,7792,23725,1695,22030,21288,742,4546
"Cumberland, MD-WV Metro Area",11339,0,11339,10231,1108,4317,7280,0,7280,6710,570,1383
"Dallas-Fort Worth-Arlington, TX Metro Area",873780,1752,872028,812569,59459,201679,1002836,629,1002207,968361,33846,159487
"Dalton, GA Metro Area",16010,30,15980,14641,1339,4399,7645,0,7645,7420,225,1254
"Danville, IL Metro Area",12631,0,12631,11218,1413,2854,5261,0,5261,5034,227,794
"Danville, VA Metro Area",15206,39,15167,13998,1169,4288,9279,0,9279,9116,163,832
"Davenport-Moline-Rock Island, IA-IL Metro Area",63347,88,63259,59409,3850,12313,47253,433,46820,45576,1244,6793
"Dayton, OH Metro Area",120004,803,119201,108879,10322,33199,101805,1403,100402,97177,3225,16558
"Decatur, AL Metro Area",17828,0,17828,16279,1549,6876,14022,0,14022,13295,727,3103
"Decatur, IL Metro Area",16037,36,16001,14368,1633,3403,12050,0,12050,11503,547,2380
"Duluth, MN-WI Metro Area",47499,341,47158,44049,3109,13381,31303,148,31155,30198,957,6728
"Durham-Chapel Hill, NC Metro Area",55427,146,55281,48752,6529,14984,111663,63,111600,107165,4435,19169
"Eau Claire, WI Metro Area",26432,81,26351,25185,1166,4991,21513,29,21484,20752,732,3379
"El Centro, CA Metro Area",19862,164,19698,16395,3303,7663,9661,0,9661,9123,538,2564
"Elizabethtown, KY Metro Area",19234,1905,17329,15872,1457,4293,12116,728,11388,10736,652,2049
"Elkhart-Goshen, IN Metro Area",22687,55,22632,21216,1416,4365,15468,0,15468,15250,218,1902
"Elmira, NY Metro Area",12484,57,12427,11740,687,3914,8803,0,8803,8735,68,1752
"El Paso, TX Metro Area",101665,4944,96721,90245,6476,29980,77724,3818,73906,70366,3540,11912
"Erie, PA Metro Area",33368,12,33356,30694,2662,7038,34596,35,34561,33430,1131,5053
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",50081,201,49880,46629,3251,15074,58946,152,58794,57834,960,12600
"Flagstaff, AZ Metro Area",17064,0,17064,15837,1227,5458,16203,0,16203,15754,449,3248
"Flint, MI Metro Area",60592,112,60480,53601,6879,22670,38852,0,38852,36156,2696,7075
"Florence, SC Metro Area",27018,0,27018,24899,2119,6903,20559,70,20489,19769,720,2973
"Florence-Muscle Shoals, AL Metro Area",15980,0,15980,14389,1591,7071,14331,110,14221,13371,850,2113
"Fond du Lac, WI Metro Area",16267,0,16267,15570,697,2970,10033,0,10033,9823,210,1447
"Fort Collins-Loveland, CO Metro Area",42539,29,42510,38662,3848,9899,64424,182,64242,61851,2391,11677
"Fort Smith, AR-OK Metro Area",36729,315,36414,34424,1990,13351,20694,34,20660,20348,312,4452
"Fort Wayne, IN Metro Area",64255,157,64098,60774,3324,12313,47859,0,47859,45963,1896,7006
"Fresno, CA Metro Area",112865,523,112342,96497,15845,36115,72959,125,72834,68744,4090,13864
"Gadsden, AL Metro Area",12217,0,12217,11025,1192,5660,7116,0,7116,6664,452,1508
"Great Falls, MT Metro Area",11799,653,11146,10594,552,3604,7674,641,7033,6830,203,1167
"Greeley, CO Metro Area",37548,50,37498,35330,2168,8483,31774,110,31664,30170,1494,5197
"Green Bay, WI Metro Area",48850,44,48806,45921,2885,7329,39880,35,39845,39035,810,4293
"Greensboro-High Point, NC Metro Area",102660,282,102378,93848,8530,22091,90264,0,90264,85704,4560,15813
"Greenville, NC Metro Area",29644,313,29331,26463,2868,6183,21471,66,21405,20745,660,2413
"Greenville-Mauldin-Easley, SC Metro Area",75597,160,75437,69510,5927,21498,88008,67,87941,85519,2422,15319
"Gulfport-Biloxi, MS Metro Area",39483,1293,38190,34555,3635,12771,21969,1204,20765,19544,1221,5569
"Hagerstown-Martinsburg, MD-WV Metro Area",38794,269,38525,35646,2879,9833,24004,132,23872,23147,725,4670
"Hanford-Corcoran, CA Metro Area",19418,970,18448,16353,2095,8935,8244,781,7463,6910,553,1800
"Hickory-Lenoir-Morganton, NC Metro Area",51371,103,51268,47464,3804,12843,29278,0,29278,27908,1370,4984
"Hinesville-Fort Stewart, GA Metro Area",12795,1957,10838,9065,1773,3710,6446,1091,5355,5115,240,1149
"Holland-Grand Haven, MI Metro Area",37334,0,37334,35848,1486,7317,34495,0,34495,32403,2092,5822
"Honolulu, HI Metro Area",145204,11986,133218,125834,7384,30693,149571,5687,143884,139349,4535,25635
"Hot Springs, AR Metro Area",13865,0,13865,12957,908,5076,9129,0,9129,8722,407,1975
"Houma-Bayou Cane-Thibodaux, LA Metro Area",19714,0,19714,18438,1276,4817,16270,72,16198,15282,916,2028
"Houston-Sugar Land-Baytown, TX Metro Area",757184,825,756359,699542,56817,196185,853316,599,852717,820320,32397,149984
"Jackson, MS Metro Area",74648,138,74510,66224,8286,17898,77554,380,77174,74809,2365,11566
"Jackson, TN Metro Area",13479,0,13479,12728,751,4479,11225,0,11225,10505,720,2677
"Jacksonville, FL Metro Area",200481,2532,197949,181044,16905,50259,176125,2376,173749,165239,8510,35831
"Jacksonville, NC Metro Area",30662,6109,24553,20807,3746,8109,12664,2356,10308,9858,450,3318
"Janesville, WI Metro Area",24227,9,24218,22766,1452,5666,16035,0,16035,15318,717,2433
"Jefferson City, MO Metro Area",16584,107,16477,15943,534,5959,20231,0,20231,19774,457,2280
"Johnson City, TN Metro Area",22316,65,22251,21251,1000,6858,21622,0,21622,21206,416,4364
"Kennewick-Pasco-Richland, WA Metro Area",38910,163,38747,36226,2521,11595,27363,0,27363,26534,829,4981
"Killeen-Temple-Fort Hood, TX Metro Area",65211,10187,55024,50667,4357,24174,35586,5635,29951,28882,1069,8767
"Kingsport-Bristol-Bristol, TN-VA Metro Area",37192,166,37026,33678,3348,12151,28476,0,28476,27619,857,4612
"Kingston, NY Metro Area",24489,35,24454,22715,1739,6670,27805,38,27767,25615,2152,4055
"Knoxville, TN Metro Area",93899,138,93761,88339,5422,25933,101222,135,101087,97501,3586,16780
"Kokomo, IN Metro Area",14296,0,14296,13082,1214,4260,7898,0,7898,7725,173,1009
"La Crosse, WI-MN Metro Area",22284,53,22231,21572,659,3973,17955,0,17955,17592,363,2453
"Lafayette, IN Metro Area",23608,0,23608,22507,1101,4936,27844,19,27825,26749,1076,4217
"Las Vegas-Paradise, NV Metro Area",288978,2508,286470,256297,30173,74552,199402,2350,197052,185458,11594,36478
"Lawrence, KS Metro Area",11213,0,11213,10359,854,2504,23517,0,23517,22815,702,2682
"Lawton, OK Metro Area",17785,2568,15217,13867,1350,5685,11187,1082,10105,9875,230,1514
"Lebanon, PA Metro Area",14586,84,14502,13703,799,3023,12369,46,12323,11737,586,1421
"Lewiston, ID-WA Metro Area",10360,0,10360,9907,453,2744,5246,0,5246,4811,435,1498
"Lewiston-Auburn, ME Metro Area",17516,0,17516,15945,1571,3864,9980,0,9980,9878,102,1198
"Lexington-Fayette, KY Metro Area",60108,55,60053,55787,4266,13798,83439,109,83330,80599,2731,13094
"Lima, OH Metro Area",13820,69,13751,12458,1293,4743,8980,0,8980,8746,234,1253
"Lincoln, NE Metro Area",47641,239,47402,45430,1972,9500,52662,103,52559,51384,1175,6302
"Little Rock-North Little Rock-Conway, AR Metro Area",91546,1292,90254,83592,6662,23733,102246,900,101346,97719,3627,14602
"Logan, UT-ID Metro Area",15208,5,15203,14675,528,4987,15848,76,15772,15353,419,3810
"Mankato-North Mankato, MN Metro Area",15060,22,15038,14688,350,1942,14929,0,14929,14642,287,1075
"Mansfield, OH Metro Area",15484,148,15336,13473,1863,6250,8742,0,8742,8289,453,1465
"McAllen-Edinburg-Mission, TX Metro Area",71429,160,71269,65842,5427,19582,55235,45,55190,52861,2329,8942
"Medford, OR Metro Area",29868,0,29868,27109,2759,10477,20791,0,20791,19342,1449,4801
"Memphis, TN-MS-AR Metro Area",189456,504,188952,172380,16572,44047,163831,613,163218,158596,4622,27166
"Merced, CA Metro Area",27370,0,27370,23325,4045,8357,14022,0,14022,13409,613,1687
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",746354,2233,744121,670573,73548,160618,813425,878,812547,759903,52644,136979
"Michigan City-La Porte, IN Metro Area",14978,0,14978,14041,937,5385,7467,0,7467,6902,565,1444
"Midland, TX Metro Area",23140,0,23140,22075,1065,4806,14929,0,14929,14679,250,3516
"Milwaukee-Waukesha-West Allis, WI Metro Area",217399,39,217360,201905,15455,44291,256093,87,256006,248659,7347,35286
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",518091,919,517172,486735,30437,86290,691626,661,690965,668457,22508,77185
"Missoula, MT Metro Area",15381,0,15381,14033,1348,3940,22605,0,22605,21675,930,3288
"Mobile, AL Metro Area",50374,855,49519,44903,4616,17466,40891,166,40725,39282,1443,7881
"Naples-Marco Island, FL Metro Area",32491,0,32491,29973,2518,10359,31988,0,31988,30300,1688,8859
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",202877,399,202478,189371,13107,45858,269455,383,269072,261312,7760,44519
"New Haven-Milford, CT Metro Area",105468,0,105468,93387,12081,17944,142261,440,141821,135178,6643,19456
"New Orleans-Metairie-Kenner, LA Metro Area",162078,886,161192,148498,12694,44651,158124,1037,157087,151552,5535,27218
"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",1985784,2467,1983317,1795251,188066,484671,3610491,775,3609716,3429220,180496,539520
"Niles-Benton Harbor, MI Metro Area",19614,0,19614,18325,1289,6530,17820,0,17820,17183,637,3551
"North Port-Bradenton-Sarasota, FL Metro Area",85554,203,85351,76724,8627,25625,76587,0,76587,73210,3377,17672
"Norwich-New London, CT Metro Area",36362,1845,34517,30834,3683,6988,41922,900,41022,39453,1569,5416
"Ocala, FL Metro Area",36921,215,36706,32622,4084,15102,22065,0,22065,20033,2032,5813
"Ocean City, NJ Metro Area",9726,85,9641,8808,833,2026,13658,39,13619,12906,713,3001
"Odessa, TX Metro Area",19767,0,19767,18890,877,5121,7949,0,7949,7861,88,1648
"Palm Bay-Melbourne-Titusville, FL Metro Area",77144,350,76794,67958,8836,24969,67411,556,66855,62171,4684,10193
"Palm Coast, FL Metro Area",9505,0,9505,8596,909,5266,8239,0,8239,7619,620,3087
"Panama City-Lynn Haven-Panama City Beach, FL Metro Area",29019,665,28354,26266,2088,7509,18479,487,17992,17223,769,3687
"Parkersburg-Marietta-Vienna, WV-OH Metro Area",21432,0,21432,20032,1400,7105,14222,0,14222,13562,660,2843
"Pascagoula, MS Metro Area",23599,54,23545,22358,1187,7407,14748,203,14545,13960,585,3526
"Pensacola-Ferry Pass-Brent, FL Metro Area",68101,3050,65051,59696,5355,21748,52213,3453,48760,47557,1203,8185
"Peoria, IL Metro Area",58174,53,58121,54814,3307,13953,48159,69,48090,47363,727,7896
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",685618,2258,683360,619111,64249,150921,1025808,1934,1023874,978158,45716,146937
"Phoenix-Mesa-Glendale, AZ Metro Area",600677,1315,599362,552017,47345,162274,557029,559,556470,534711,21759,105271
"Pine Bluff, AR Metro Area",10424,0,10424,9344,1080,4232,7479,0,7479,7161,318,1238
"Pittsburgh, PA Metro Area",303248,283,302965,284821,18144,72191,377566,410,377156,363645,13511,57852
"Pittsfield, MA Metro Area",15126,35,15091,13265,1826,3835,19501,0,19501,18431,1070,2983
"Punta Gorda, FL Metro Area",20007,58,19949,18468,1481,7839,10267,0,10267,9960,307,4601
"Racine, WI Metro Area",32450,0,32450,29569,2881,6913,22391,0,22391,21340,1051,3295
"Raleigh-Cary, NC Metro Area",153928,560,153368,143952,9416,30711,248843,608,248235,238733,9502,40350
"Rapid City, SD Metro Area",21317,102,21215,20262,953,4745,15376,109,15267,15047,220,2526
"Reading, PA Metro Area",45489,100,45389,41034,4355,9354,46369,0,46369,44904,1465,6149
"Redding, CA Metro Area",30244,0,30244,27258,2986,11368,13411,0,13411,12825,586,3917
"Reno-Sparks, NV Metro Area",65586,160,65426,59432,5994,17495,53770,232,53538,51121,2417,10484
"Richmond, VA Metro Area",165971,2312,163659,153513,10146,35334,206899,1690,205209,198336,6873,31090
"Riverside-San Bernardino-Ontario, CA Metro Area",566295,5803,560492,499734,60758,187657,347439,1813,345626,320832,24794,73174
"Roanoke, VA Metro Area",42454,172,42282,39386,2896,11801,40026,0,40026,39354,672,6329
"Rochester, MN Metro Area",31012,49,30963,30385,578,5403,36479,0,36479,35906,573,3200
"Rochester, NY Metro Area",147393,38,147355,136357,10998,34539,159846,40,159806,152485,7321,24903
"Rockford, IL Metro Area",48420,57,48363,44718,3645,11217,35552,0,35552,33731,1821,5275
"Rocky Mount, NC Metro Area",18680,42,18638,16305,2333,5048,10575,0,10575,10246,329,2290
"Salt Lake City, UT Metro Area",171278,162,171116,160634,10482,42561,169044,194,168850,164422,4428,27489
"San Angelo, TX Metro Area",16530,1210,15320,14704,616,2712,8236,892,7344,7024,320,1962
"San Antonio-New Braunfels, TX Metro Area",305500,4725,300775,280448,20327,82759,267982,4936,263046,253690,9356,47332
"San Diego-Carlsbad-San Marcos, CA Metro Area",425309,18852,406457,368390,38067,134901,510093,11153,498940,474791,24149,87074
"Sandusky, OH Metro Area",9952,0,9952,9178,774,2863,7843,0,7843,7551,292,925
"San Francisco-Oakland-Fremont, CA Metro Area",539639,1229,538410,489342,49068,136271,1037036,1322,1035714,982781,52933,162270
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",208916,59,208857,188393,20464,53351,431066,285,430781,409929,20852,78277
"San Luis Obispo-Paso Robles, CA Metro Area",41716,318,41398,38594,2804,12822,36551,121,36430,35679,751,7945
"Santa Barbara-Santa Maria-Goleta, CA Metro Area",47511,772,46739,42877,3862,14851,50726,468,50258,48608,1650,10285
"Santa Cruz-Watsonville, CA Metro Area",35159,14,35145,32445,2700,10083,46219,39,46180,44947,1233,7103
"Shreveport-Bossier City, LA Metro Area",55009,1047,53962,50977,2985,13469,44819,1433,43386,42249,1137,6823
"Sioux City, IA-NE-SD Metro Area",19409,24,19385,18840,545,3654,13858,0,13858,13766,92,1661
"Sioux Falls, SD Metro Area",37526,88,37438,36372,1066,4878,35960,152,35808,35158,650,3450
"South Bend-Mishawaka, IN-MI Metro Area",40288,66,40222,36461,3761,11101,40202,0,40202,38969,1233,5408
"Spartanburg, SC Metro Area",37452,0,37452,34969,2483,10162,26547,0,26547,25735,812,5683
"Spokane, WA Metro Area",76469,678,75791,69484,6307,28702,57581,526,57055,54980,2075,11754
"Springfield, IL Metro Area",29718,133,29585,27676,1909,5860,35000,345,34655,33733,922,6005
"Tampa-St. Petersburg-Clearwater, FL Metro Area",372310,2088,370222,335834,34388,104489,368594,2400,366194,348673,17521,63630
"Terre Haute, IN Metro Area",21557,10,21547,20363,1184,6555,15197,37,15160,14771,389,2771
"Texarkana, TX-Texarkana, AR Metro Area",18072,85,17987,16884,1103,6350,10101,0,10101,9486,615,2252
"Toledo, OH Metro Area",94424,44,94380,87087,7293,23065,72492,0,72492,70083,2409,10951
"Topeka, KS Metro Area",32522,217,32305,29822,2483,7334,29531,89,29442,29283,159,4347
"Trenton-Ewing, NJ Metro Area",35441,0,35441,32005,3436,9818,68786,0,68786,66142,2644,9711
"Tucson, AZ Metro Area",143267,2809,140458,129768,10690,45811,119274,1266,118008,112973,5035,25244
"Tulsa, OK Metro Area",131173,370,130803,122672,8131,35877,115734,0,115734,111968,3766,20378
"Tuscaloosa, AL Metro Area",22133,0,22133,20216,1917,7347,27429,0,27429,25876,1553,4182
"Tyler, TX Metro Area",29922,0,29922,28760,1162,8109,21698,0,21698,21415,283,3546
"Utica-Rome, NY Metro Area",43157,91,43066,39822,3244,10326,32910,76,32834,31445,1389,5039
"Valdosta, GA Metro Area",18333,1151,17182,14572,2610,5822,11747,134,11613,11401,212,2101
"Waterloo-Cedar Falls, IA Metro Area",21586,36,21550,20591,959,3711,21089,0,21089,20670,419,3261
"Wausau, WI Metro Area",20103,16,20087,18577,1510,3144,16309,0,16309,15757,552,1867
"Wenatchee-East Wenatchee, WA Metro Area",13407,0,13407,12470,937,5198,10875,0,10875,10595,280,1524
"Wheeling, WV-OH Metro Area",19684,0,19684,17893,1791,5719,13860,0,13860,13374,486,1971
"Wichita, KS Metro Area",91573,1138,90435,85130,5305,22581,82555,624,81931,79819,2112,12281
"Wichita Falls, TX Metro Area",21511,892,20619,19652,967,5515,13746,855,12891,12630,261,1938
"Yuba City, CA Metro Area",26315,1307,25008,22852,2156,8154,11719,653,11066,10242,824,2397
"Yuma, AZ Metro Area",24044,416,23628,21204,2424,7634,11399,728,10671,10029,642,2188